dust,NO2,CO2,SO2,AQI
41.54,9.04,0.76,2.93,137
53.44,11.58,0.72,3.1,133
52.41,13.27,0.71,3.54,139
69.46,13.13,0.66,3.72,162
54.32,9.71,0.67,4.71,154
43.14,10.2,0.61,4.93,124
52.39,13.52,0.61,4.66,123
29.75,10.8,0.54,4.14,114
58.6,9.93,0.55,4.14,119
57.97,9.32,0.47,3.58,133
46.84,9.46,0.56,3.83,132
16.77,7.56,0.62,3.5,79
25.72,8.99,0.65,3.55,73
19.79,9.64,0.74,4.36,64
31.52,6.09,0.71,3.46,69
47.8,4.86,0.63,2.86,73
58.97,9.45,0.69,3.85,133
51.79,10.5,0.75,3.92,132
29.06,9.14,0.69,3.55,112
28.63,9.03,0.69,3.71,91
42.29,9.54,0.64,3.72,110
48.66,8.7,0.57,8.52,128
54.53,8,0.88,3.55,140
40.21,8.52,0.92,3.09,125
27.42,6.89,1.31,3.42,119
